Memory Cost of Deleting Objects From A Banker's Queue, 
Objects Inserted, Memory Used (KB)
0, 2120048
100000, 2127176
200000, 2134376
300000, 2141576
400000, 2148776
500000, 2155976
600000, 2163176
700000, 2170376
800000, 2177576
900000, 2184776
1000000, 2191976
