Memory Cost of Deleting Objects From A Non-Functional Map At Random, 
Objects Inserted, Memory Used (KB)
0, 2060000
100000, 1854000
200000, 1648000
300000, 1442000
400000, 1236000
500000, 1030000
600000, 824000
700000, 618000
800000, 412000
900000, 206000
1000000, 0
