Memory Cost of Inserting Objects Into Red Black Tree At Random, 
Objects Inserted, Memory Used (KB)
0, 0
100000, 612796
200000, 1278630
300000, 1964317
400000, 2663926
500000, 3371967
600000, 4088267
700000, 4809858
800000, 5538176
900000, 6270719
1000000, 7007705
