Memory Cost of Inserting Objects Into A Banker's Queue, 
Objects Inserted, Memory Used (KB)
0, 0
100000, 212011
200000, 424016
300000, 636033
400000, 848016
500000, 1060030
600000, 1272052
700000, 1484053
800000, 1696024
900000, 1908060
1000000, 2120048
