Time Cost of Deleting Objects From The Back of A Non-Functional Vector, 
Objects Inserted, Time Used (ms)
0, 0
100000, 9
200000, 19
300000, 28
400000, 38
500000, 47
600000, 57
700000, 66
800000, 76
900000, 88
1000000, 97
