Memory Cost of Deleting Objects In A Red Black Tree At Random, 
Objects Inserted, Memory Used (KB)
0, 16140901064495857
100000, 16140901064495857
200000, 140736399474
300000, 140736242793
400000, 140736399487
500000, 140736242793
600000, 140736399487
700000, 140736242887
800000, 0
900000, 0
1000000, 5470551
