Memory Cost of Deleting Objects From The Back of A Non-Functional Vector, 
Objects Inserted, Memory Used (KB)
0, 25165
100000, 25165
200000, 25165
300000, 25165
400000, 25165
500000, 25165
600000, 25165
700000, 25165
800000, 25165
900000, 25165
1000000, 25165
