Time Cost of Deleting Objects In A Red Black Tree At Random, 
Objects Inserted, Time Used (ms)
0, -2305843009213693
100000, -2305843009213693
200000, 0
300000, 0
400000, 0
500000, 0
600000, 0
700000, 0
800000, 0
900000, 0
1000000, 0
