Memory Cost of Appending Objects Into A Non-Functional Vector, 
Objects Inserted, Memory Used (KB)
0, 0
100000, 3145
200000, 6291
300000, 12582
400000, 12582
500000, 12582
600000, 25165
700000, 25165
800000, 25165
900000, 25165
1000000, 25165
